"time","poolid","name","status","addr","sensortype","type","ph","ec","salt","tds","orp","cl","temp","bat","blerssi","wifissid","wifirssi","wifiip","mqttserver","mqttconnected","mqtttopic"
2026-06-20 19:51:27.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 19:46:31.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-20,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 19:44:46.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-20,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 19:28:01.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,521,286.55,260,556,0.3,30.5,2815,-75,pool,-15,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 19:26:17.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-17,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 18:57:20.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 18:46:33.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,523,287.65,261,574,0.3,30.6,2830,-69,pool,-17,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 18:46:22.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 18:32:02.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 18:08:49.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,523,287.65,261,524,0.2,30.7,2832,-68,pool,-20,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 18:00:00.000 +0200,Pool H32,Pool H32,,,,,,,,,,,,,,,,,,,home/H32/pool/event
2026-06-20 17:58:52.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.5,522,287.1,261,495,0.1,30.9,2838,-67,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 17:48:25.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,524,288.2,262,529,0.2,30.8,2839,-64,pool,-18,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 17:38:24.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,523,287.65,261,560,0.3,30.7,2840,-67,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 17:07:34.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,438,240.9,219,548,0.3,30.7,2837,-69,pool,-20,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 16:57:33.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,447,245.85,223,533,0.2,30.6,2831,-72,pool,-22,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 16:56:57.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-25,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 16:53:29.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-26,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 16:52:58.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-27,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 16:42:57.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,464,255.2,232,526,0.2,30.6,2830,-72,pool,-16,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 16:42:23.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-26,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 16:41:25.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 15:55:44.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,524,288.2,262,543,0.2,30.9,2842,-70,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 15:45:20.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,477,262.35,238,563,0.3,30.8,2836,-68,pool,-20,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 15:34:32.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,444,244.2,222,563,0.3,30.8,2842,-63,pool,-17,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 15:14:30.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,460,253.0,230,571,0.3,30.7,2842,-69,pool,-15,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 15:04:30.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,468,257.4,234,570,0.3,30.7,2837,-64,pool,-16,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 14:54:28.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,447,245.85,223,570,0.3,30.7,2838,-68,pool,-20,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
