"time","poolid","voltage","current","power","mqtttopic","raw"
2025-08-21 01:56:35.000 +0200,Pool H32,236.0,0.052,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:56:35\"",\""Epoch\"":1755734195,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.321,\""Yesterday\"":3.281,\""Today\"":0.004,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.18,\""Voltage\"":236,\""Current\"":0.052}}"""
2025-08-21 01:51:35.000 +0200,Pool H32,236.0,0.052,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:51:35\"",\""Epoch\"":1755733895,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.321,\""Yesterday\"":3.281,\""Today\"":0.004,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.20,\""Voltage\"":236,\""Current\"":0.052}}"""
2025-08-21 01:46:35.000 +0200,Pool H32,236.0,0.051,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:46:35\"",\""Epoch\"":1755733595,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.321,\""Yesterday\"":3.281,\""Today\"":0.004,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":236,\""Current\"":0.051}}"""
2025-08-21 01:41:35.000 +0200,Pool H32,236.0,0.06,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:41:35\"",\""Epoch\"":1755733295,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.321,\""Yesterday\"":3.281,\""Today\"":0.004,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":14,\""ReactivePower\"":14,\""Factor\"":0.15,\""Voltage\"":236,\""Current\"":0.060}}"""
2025-08-21 01:36:35.000 +0200,Pool H32,236.0,0.055,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:36:35\"",\""Epoch\"":1755732995,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.321,\""Yesterday\"":3.281,\""Today\"":0.004,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":13,\""Factor\"":0.16,\""Voltage\"":236,\""Current\"":0.055}}"""
2025-08-21 01:31:35.000 +0200,Pool H32,235.0,0.051,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:31:35\"",\""Epoch\"":1755732695,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.320,\""Yesterday\"":3.281,\""Today\"":0.004,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":235,\""Current\"":0.051}}"""
2025-08-21 01:26:35.000 +0200,Pool H32,236.0,0.053,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:26:35\"",\""Epoch\"":1755732395,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.320,\""Yesterday\"":3.281,\""Today\"":0.003,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.18,\""Voltage\"":236,\""Current\"":0.053}}"""
2025-08-21 01:21:35.000 +0200,Pool H32,234.0,0.056,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:21:35\"",\""Epoch\"":1755732095,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.320,\""Yesterday\"":3.281,\""Today\"":0.003,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":13,\""Factor\"":0.16,\""Voltage\"":234,\""Current\"":0.056}}"""
2025-08-21 01:16:35.000 +0200,Pool H32,235.0,0.053,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:16:35\"",\""Epoch\"":1755731795,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.320,\""Yesterday\"":3.281,\""Today\"":0.003,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":235,\""Current\"":0.053}}"""
2025-08-21 01:11:35.000 +0200,Pool H32,235.0,0.053,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-21T01:11:35\"",\""Epoch\"":1755731495,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.320,\""Yesterday\"":3.281,\""Today\"":0.003,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":235,\""Current\"":0.053}}"""
